"Experiment Accession","Experiment Title","Organism Name","Instrument","Submitter","Study Accession","Study Title","Sample Accession","Sample Title","Total Size, Mb","Total RUNs","Total Spots","Total Bases","Library Name","Library Strategy","Library Source","Library Selection"
"ERX5991947","Illumina HiSeq 4000 sequencing","synthetic metagenome","Illumina HiSeq 4000","European Molecular Biology Laboratory","ERP130819","Multi-omics analysis of a synthetic gut microbial community.","ERS6678212","","556.87","1","18710445","1553090103","Niclosamide_20uM_T96h_runB_r2","WGS","METATRANSCRIPTOMIC","RANDOM"
"ERX5991946","Illumina HiSeq 4000 sequencing","synthetic metagenome","Illumina HiSeq 4000","European Molecular Biology Laboratory","ERP130819","Multi-omics analysis of a synthetic gut microbial community.","ERS6678211","","617.67","1","20608929","1709882469","Niclosamide_20uM_T96h_runB_r1","WGS","METATRANSCRIPTOMIC","RANDOM"
"ERX5991945","Illumina HiSeq 4000 sequencing","synthetic metagenome","Illumina HiSeq 4000","European Molecular Biology Laboratory","ERP130819","Multi-omics analysis of a synthetic gut microbial community.","ERS6678209","","613.17","1","20721418","1720859132","Niclosamide_20uM_T48h_runB_r1","WGS","METATRANSCRIPTOMIC","RANDOM"
"ERX5991944","Illumina HiSeq 4000 sequencing","synthetic metagenome","Illumina HiSeq 4000","European Molecular Biology Laboratory","ERP130819","Multi-omics analysis of a synthetic gut microbial community.","ERS6678208","","522.59","1","17735789","1473345155","Niclosamide_20uM_T3h_runB_r2","WGS","METATRANSCRIPTOMIC","RANDOM"
"ERX5991943","Illumina HiSeq 4000 sequencing","synthetic metagenome","Illumina HiSeq 4000","European Molecular Biology Laboratory","ERP130819","Multi-omics analysis of a synthetic gut microbial community.","ERS6678207","","556.71","1","18921139","1572472845","Niclosamide_20uM_T3h_runB_r1","WGS","METATRANSCRIPTOMIC","RANDOM"
"ERX5991942","Illumina HiSeq 4000 sequencing","synthetic metagenome","Illumina HiSeq 4000","European Molecular Biology Laboratory","ERP130819","Multi-omics analysis of a synthetic gut microbial community.","ERS6678206","","647.67","1","21476627","1779976020","Niclosamide_20uM_T30_runB_r2","WGS","METATRANSCRIPTOMIC","RANDOM"
"ERX5991941","Illumina HiSeq 4000 sequencing","synthetic metagenome","Illumina HiSeq 4000","European Molecular Biology Laboratory","ERP130819","Multi-omics analysis of a synthetic gut microbial community.","ERS6678205","","652.43","1","21869204","1816300038","Niclosamide_20uM_T30_runB_r1","WGS","METATRANSCRIPTOMIC","RANDOM"
"ERX5991940","Illumina HiSeq 4000 sequencing","synthetic metagenome","Illumina HiSeq 4000","European Molecular Biology Laboratory","ERP130819","Multi-omics analysis of a synthetic gut microbial community.","ERS6678204","","714.87","1","23820484","1975635937","Niclosamide_20uM_T1h_runB_r2","WGS","METATRANSCRIPTOMIC","RANDOM"
"ERX5991939","Illumina HiSeq 4000 sequencing","synthetic metagenome","Illumina HiSeq 4000","European Molecular Biology Laboratory","ERP130819","Multi-omics analysis of a synthetic gut microbial community.","ERS6678203","","639.52","1","21169909","1755881103","Niclosamide_20uM_T1h_runB_r1","WGS","METATRANSCRIPTOMIC","RANDOM"
"ERX5991938","Illumina HiSeq 4000 sequencing","synthetic metagenome","Illumina HiSeq 4000","European Molecular Biology Laboratory","ERP130819","Multi-omics analysis of a synthetic gut microbial community.","ERS6678202","","714.46","1","23758901","1969900975","Niclosamide_20uM_T15_runB_r2","WGS","METATRANSCRIPTOMIC","RANDOM"
"ERX5991937","Illumina HiSeq 4000 sequencing","synthetic metagenome","Illumina HiSeq 4000","European Molecular Biology Laboratory","ERP130819","Multi-omics analysis of a synthetic gut microbial community.","ERS6678201","","690.65","1","22894260","1897919661","Niclosamide_20uM_T15_runB_r1","WGS","METATRANSCRIPTOMIC","RANDOM"
"ERX5991936","Illumina HiSeq 4000 sequencing","synthetic metagenome","Illumina HiSeq 4000","European Molecular Biology Laboratory","ERP130819","Multi-omics analysis of a synthetic gut microbial community.","ERS6678200","","644.99","1","21666431","1799133968","Niclosamide_20uM_T0_runB_r2","WGS","METATRANSCRIPTOMIC","RANDOM"
"ERX5991935","Illumina HiSeq 4000 sequencing","synthetic metagenome","Illumina HiSeq 4000","European Molecular Biology Laboratory","ERP130819","Multi-omics analysis of a synthetic gut microbial community.","ERS6678199","","587.04","1","19643021","1630723639","Niclosamide_20uM_T0_runB_r1","WGS","METATRANSCRIPTOMIC","RANDOM"
"ERX5991934","Illumina HiSeq 4000 sequencing","synthetic metagenome","Illumina HiSeq 4000","European Molecular Biology Laboratory","ERP130819","Multi-omics analysis of a synthetic gut microbial community.","ERS6678198","","671.35","1","22307129","1848894918","Metformin_5mM_T96h_runB_r2","WGS","METATRANSCRIPTOMIC","RANDOM"
"ERX5991933","Illumina HiSeq 4000 sequencing","synthetic metagenome","Illumina HiSeq 4000","European Molecular Biology Laboratory","ERP130819","Multi-omics analysis of a synthetic gut microbial community.","ERS6678197","","409.83","1","13870699","1152041538","Metformin_5mM_T96h_runB_r1","WGS","METATRANSCRIPTOMIC","RANDOM"
"ERX5991932","Illumina HiSeq 4000 sequencing","synthetic metagenome","Illumina HiSeq 4000","European Molecular Biology Laboratory","ERP130819","Multi-omics analysis of a synthetic gut microbial community.","ERS6678196","","567.32","1","19208407","1595579269","Metformin_5mM_T48h_runB_r2","WGS","METATRANSCRIPTOMIC","RANDOM"
"ERX5991931","Illumina HiSeq 4000 sequencing","synthetic metagenome","Illumina HiSeq 4000","European Molecular Biology Laboratory","ERP130819","Multi-omics analysis of a synthetic gut microbial community.","ERS6678195","","634.38","1","21320493","1770966366","Metformin_5mM_T48h_runB_r1","WGS","METATRANSCRIPTOMIC","RANDOM"
