nameseq,faverage,fmedian,fmaximum,fminimum,fpeak,fnone_levated_peak,fsample_standard_deviation,fpopulation_standard_deviation,fpercentile15,fpercentile25,fpercentile50,fpercentile75,famplitude,fvariance,finterquartile_range,fsemi_interquartile_range,fcoefficient_of_variation,fskewness,fkurtosis,label
AE006468.2/4399812-4399927,231.99999999999997,135.8282682571909,1296.0,2.163898378278371,0.16666666666666669,2.8610409328417314,231.2401349247141,232.24335063257132,44.786647426733495,64.5557698524057,135.8282682571909,322.1989446541756,1293.8361016217216,53936.97391304346,257.6431748017699,128.82158740088494,0.9967247195030782,1.2476865027014468,0.2561611352026583,rRNA
AE006468.2/3566749-3566634,232.0,149.69212445936864,977.2572308076711,3.446642233351847,0.16666666666666666,2.834673547102578,219.2715211786519,220.22281207114244,46.15752039939597,69.8379088441901,149.69212445936864,314.3499177195174,973.8105885743192,48498.08695652173,244.5120088753273,122.25600443766365,0.9451358671493617,1.1261089688921004,0.22978044057663646,rRNA
AE006468.2/294522-294637,231.9999999999999,144.35782688447853,1160.0000000000002,0.4887903473697422,0.16666666666666674,2.843947816809031,224.78434109163385,225.7595488856307,48.713577150362795,74.6066195107961,144.35782688447853,340.1805168848616,1159.5112096526304,50967.37391304348,265.5738973740655,132.78694868703275,0.968898021946698,1.1696834311042221,0.2768369393754965,rRNA
AE006468.2/4100145-4101686,3083.9999999999964,2020.1145795636962,23575.364042318513,0.4491100936778526,0.16666666666666685,10.48125748347768,3225.9621820473963,3227.0087229287947,506.6143442664816,900.0434733737877,2020.1145795636962,4302.796759963708,23574.914932224834,10413585.297858533,3402.75328658992,1701.37664329496,1.0460318359427367,0.9893656779582198,0.254510889388862,rRNA
AE006468.2/289180-290721,3084.000000000003,1993.80406364516,24692.105616551373,2.686371596420359,0.1666666666666665,10.491104156653218,3258.868515297909,3259.9257313890776,542.2960267354168,878.1843804736236,1993.80406364516,4213.415988246574,24689.419244954952,10627115.774172613,3335.23160777295,1667.615803886475,1.0567018532094377,1.0035961235353947,0.25976193061296593,rRNA
AE006468.2/3572014-3570473,3084.000000000003,2039.88352243777,24099.82601040804,4.731735660515433,0.1666666666666665,10.486225015702614,3234.0117501332606,3235.060902391236,516.0101937217152,909.3094936448223,2039.88352243777,4258.335666114577,24095.094274747524,10465619.0421804,3349.026172469755,1674.5130862348774,1.048641942325959,0.9685646419057161,0.2502781039857377,rRNA
AE006468.2/2801663-2800122,3084.000000000003,2003.8262291842889,24861.631740785524,4.213214492986602,0.1666666666666665,10.480344792144296,3216.0920384839733,3217.1353773722417,527.5089204491194,904.2731415700988,2003.8262291842889,4272.403246950193,24857.41852629254,10349960.036340035,3368.130105380094,1684.065052690047,1.042831400286631,1.0075959498891347,0.2571503181332743,rRNA
AE006468.2/4394688-4396230,3085.9999999999986,2045.5576994352468,28419.16756649279,1.3665298250991245,0.16666666666666674,10.51108914593319,3246.481171976822,3247.5336865682534,509.04398844506716,882.7790997918501,2045.5576994352468,4246.0329394578785,28417.80103666769,10546475.04539559,3363.2538396660284,1681.6269198330142,1.0520029721246997,0.9614492542378249,0.24868977425884192,rRNA
AE006468.2/4100150-4101684,3069.999999999995,2060.951685027168,27863.91259337413,3.857688654778458,0.16666666666666693,10.427765808070564,3215.983830805124,3217.0318946526654,506.787831362561,855.8486356469953,2060.951685027168,4234.436239292015,27860.054904719353,10349294.211212518,3378.5876036450195,1689.2938018225097,1.0475517364186089,0.9412811457328233,0.25455789864013645,rRNA
AE006468.2/289185-290719,3070.0000000000023,2059.7505332561977,28531.116158923727,2.750458746380133,0.16666666666666655,10.43903517941126,3247.304112644826,3248.3623835259896,525.177072689434,873.2407033995446,2059.7505332561977,4171.546628524271,28528.365700177346,10551858.174706649,3298.3059251247264,1649.1529625623632,1.0577537826204637,0.9333121552828525,0.2464793249887083,rRNA
