nameseq,average,median,maximum,minimum,peak,none_levated_peak,sample_standard_deviation,population_standard_deviation,percentile15,percentile25,percentile50,percentile75,amplitude,variance,interquartile_range,semi_interquartile_range,coefficient_of_variation,skewness,kurtosis,label
PS-196_unicycler_I3+Pcct_99127_S6_length_4136064_depth_1.00x_circular_true/14626-14741,115.99999999999997,81.02766465502849,3474.0,11.628177222290459,0.33333333333333337,2.229337693217039,316.44272783554374,317.815587764488,35.498374884226145,52.490232137262396,81.02766465502849,120.23718199046925,3462.3718227777094,101006.74782608695,67.74694985320686,33.87347492660343,2.727954550306412,0.331551326056828,0.30966145868196115,predict
PS-196_unicycler_I3+Pcct_99127_S6_length_4136064_depth_1.00x_circular_true/632412-632527,115.99999999999994,84.64630232062868,3502.0,8.270084081187115,0.3333333333333335,2.2229470195097636,318.5718129401909,319.9539097242384,39.442834688159145,54.5683904715866,84.64630232062868,117.39049632080855,3493.729915918813,102370.50434782609,62.82210584922195,31.411052924610974,2.7463087322430266,0.2952586802014808,0.3087939294032371,predict
PS-196_unicycler_I3+Pcct_99127_S6_length_4136064_depth_1.00x_circular_true/183043-183158,115.99999999999996,79.85401778383971,3458.0,7.0147991143536705,0.3333333333333334,2.222470055131158,315.05872468478,316.4255802334681,41.21599734636578,55.8446750024236,79.85401778383971,111.39576259061582,3450.9852008856465,100125.14782608696,55.55108758819222,27.77554379409611,2.7160234886618975,0.34418328442411555,0.23246331069571036,predict
PS-196_unicycler_I3+Pcct_99127_S6_length_4136064_depth_1.00x_circular_true/928483-928598,116.00000000000003,78.17220545713559,3482.0,12.13348522718864,0.3333333333333332,2.2307794193340342,317.4618087266561,318.8390898515916,37.08190649263389,47.1640878479038,78.17220545713559,126.86243769971928,3469.8665147728116,101658.3652173913,79.69834985181548,39.84917492590774,2.736739730402207,0.35747097921408816,0.3508077352344156,predict
PS-196_unicycler_I3+Pcct_99127_S6_length_4136064_depth_1.00x_circular_true/3086916-3086762,155.0,101.33549763329331,6153.0,17.45884139105062,0.3333333333333333,2.5857216762302437,487.37459925605486,488.95442381824154,58.22075219838821,67.1832404639832,101.33549763329331,161.8551944539287,6135.541158608949,239076.42857142858,94.67195398994551,47.335976994972754,3.14435225326487,0.3303280625331439,0.30537313152744616,predict
PS-196_unicycler_I3+Pcct_99127_S6_length_4136064_depth_1.00x_circular_true/11655-11809,155.00000000000003,97.19797883347073,6165.0,26.43215651286355,0.33333333333333326,2.5813470399105767,488.32161533153544,489.90450964593964,50.595911962651094,68.73288187426536,97.19797883347073,160.99112490731596,6138.567843487136,240006.42857142858,92.2582430330506,46.1291215165253,3.1504620343970022,0.35510626205202406,0.2761410781655535,predict
PS-196_unicycler_I3+Pcct_99127_S6_length_4136064_depth_1.00x_circular_true/9746-11295,1550.0000000000007,1017.9593165728767,616942.0,94.01645731308,0.33333333333333315,8.422339849113012,15649.860510560471,15654.911296720875,516.9755976774298,660.440509269858,1017.9593165728767,1523.6285080710759,616847.9835426869,245076247.70819885,863.1879988012179,431.59399940060894,10.09668420036159,0.10198953845015517,0.2728466838678388,predict
PS-196_unicycler_I3+Pcct_99127_S6_length_4136064_depth_1.00x_circular_true/923724-925273,1550.0000000000027,1015.1830705125594,617042.0,91.77648393671547,0.3333333333333327,8.425861614107097,15652.479675757448,15657.531307218891,517.320546884697,663.9062461077858,1015.1830705125594,1514.1079917452976,616950.2235160633,245158286.6365397,850.2017456375117,425.1008728187559,10.098373984359625,0.10250457574126753,0.2716640964530371,predict
PS-196_unicycler_I3+Pcct_99127_S6_length_4136064_depth_1.00x_circular_true/160822-162371,1550.0000000000027,1022.066884927609,617254.0,73.09893435871622,0.3333333333333327,8.427140384445178,15657.769509096754,15662.822847782169,518.1250538022053,666.6115365484673,1022.066884927609,1511.655271278336,617180.9010656413,245324019.5610071,845.0437347298687,422.52186736493434,10.101786780062405,0.10115101926216473,0.2678577653381475,predict
PS-196_unicycler_I3+Pcct_99127_S6_length_4136064_depth_1.00x_circular_true/30215-31764,1550.000000000002,1019.0514861334299,617358.0,88.47443650910839,0.33333333333333287,8.431788569881578,15660.385627435871,15665.43981043899,509.4303973920767,666.4939788699875,1019.0514861334299,1509.8735595192484,617269.5255634909,245406004.45448676,843.3795806492609,421.68979032463045,10.10347459834571,0.10171177003516219,0.2660048169835356,predict
