A_AA,A_AC,A_AG,A_AT,A_CA,A_CC,A_CG,A_CT,A_GA,A_GC,A_GG,A_GT,A_TA,A_TC,A_TG,A_TT,C_AA,C_AC,C_AG,C_AT,C_CA,C_CC,C_CG,C_CT,C_GA,C_GC,C_GG,C_GT,C_TA,C_TC,C_TG,C_TT,G_AA,G_AC,G_AG,G_AT,G_CA,G_CC,G_CG,G_CT,G_GA,G_GC,G_GG,G_GT,G_TA,G_TC,G_TG,G_TT,T_AA,T_AC,T_AG,T_AT,T_CA,T_CC,T_CG,T_CT,T_GA,T_GC,T_GG,T_GT,T_TA,T_TC,T_TG,T_TT,A_AAA,A_AAC,A_AAG,A_AAT,A_ACA,A_ACC,A_ACG,A_ACT,A_AGA,A_AGC,A_AGG,A_AGT,A_ATA,A_ATC,A_ATG,A_ATT,A_CAA,A_CAC,A_CAG,A_CAT,A_CCA,A_CCC,A_CCG,A_CCT,A_CGA,A_CGC,A_CGG,A_CGT,A_CTA,A_CTC,A_CTG,A_CTT,A_GAA,A_GAC,A_GAG,A_GAT,A_GCA,A_GCC,A_GCG,A_GCT,A_GGA,A_GGC,A_GGG,A_GGT,A_GTA,A_GTC,A_GTG,A_GTT,A_TAA,A_TAC,A_TAG,A_TAT,A_TCA,A_TCC,A_TCG,A_TCT,A_TGA,A_TGC,A_TGG,A_TGT,A_TTA,A_TTC,A_TTG,A_TTT,C_AAA,C_AAC,C_AAG,C_AAT,C_ACA,C_ACC,C_ACG,C_ACT,C_AGA,C_AGC,C_AGG,C_AGT,C_ATA,C_ATC,C_ATG,C_ATT,C_CAA,C_CAC,C_CAG,C_CAT,C_CCA,C_CCC,C_CCG,C_CCT,C_CGA,C_CGC,C_CGG,C_CGT,C_CTA,C_CTC,C_CTG,C_CTT,C_GAA,C_GAC,C_GAG,C_GAT,C_GCA,C_GCC,C_GCG,C_GCT,C_GGA,C_GGC,C_GGG,C_GGT,C_GTA,C_GTC,C_GTG,C_GTT,C_TAA,C_TAC,C_TAG,C_TAT,C_TCA,C_TCC,C_TCG,C_TCT,C_TGA,C_TGC,C_TGG,C_TGT,C_TTA,C_TTC,C_TTG,C_TTT,G_AAA,G_AAC,G_AAG,G_AAT,G_ACA,G_ACC,G_ACG,G_ACT,G_AGA,G_AGC,G_AGG,G_AGT,G_ATA,G_ATC,G_ATG,G_ATT,G_CAA,G_CAC,G_CAG,G_CAT,G_CCA,G_CCC,G_CCG,G_CCT,G_CGA,G_CGC,G_CGG,G_CGT,G_CTA,G_CTC,G_CTG,G_CTT,G_GAA,G_GAC,G_GAG,G_GAT,G_GCA,G_GCC,G_GCG,G_GCT,G_GGA,G_GGC,G_GGG,G_GGT,G_GTA,G_GTC,G_GTG,G_GTT,G_TAA,G_TAC,G_TAG,G_TAT,G_TCA,G_TCC,G_TCG,G_TCT,G_TGA,G_TGC,G_TGG,G_TGT,G_TTA,G_TTC,G_TTG,G_TTT,T_AAA,T_AAC,T_AAG,T_AAT,T_ACA,T_ACC,T_ACG,T_ACT,T_AGA,T_AGC,T_AGG,T_AGT,T_ATA,T_ATC,T_ATG,T_ATT,T_CAA,T_CAC,T_CAG,T_CAT,T_CCA,T_CCC,T_CCG,T_CCT,T_CGA,T_CGC,T_CGG,T_CGT,T_CTA,T_CTC,T_CTG,T_CTT,T_GAA,T_GAC,T_GAG,T_GAT,T_GCA,T_GCC,T_GCG,T_GCT,T_GGA,T_GGC,T_GGG,T_GGT,T_GTA,T_GTC,T_GTG,T_GTT,T_TAA,T_TAC,T_TAG,T_TAT,T_TCA,T_TCC,T_TCG,T_TCT,T_TGA,T_TGC,T_TGG,T_TGT,T_TTA,T_TTC,T_TTG,T_TTT,maximum_ORF_length,minimum_ORF_length,std_ORF_length,average_ORF_length,cv_ORF_length,maximum_GC_content_ORF,minimum_GC_content_ORF,std_GC_content_ORF,average_GC_content_ORF,cv_GC_content_ORF,fickett_score-ORF,fickett_score-full-sequence,average,median,maximum,minimum,peak,none_levated_peak,sample_standard_deviation,population_standard_deviation,percentile15,percentile25,percentile50,percentile75,amplitude,variance,interquartile_range,semi_interquartile_range,coefficient_of_variation,skewness,kurtosis
1,1,1,0,0,1,3,3,0,3,2,1,1,1,3,0,1,1,2,3,4,6,1,0,4,2,2,3,2,0,4,0,2,2,5,0,1,3,5,1,4,2,5,3,1,2,2,0,1,1,1,0,0,4,1,0,0,3,2,3,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,1,2,0,0,0,0,0,0,2,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,3,0,0,1,1,2,2,1,2,1,0,0,1,0,0,0,0,0,2,1,0,1,0,2,0,0,0,1,0,0,2,0,1,0,0,0,2,0,0,0,0,0,1,2,1,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2,1,2,0,0,0,0,0,0,1,0,0,2,1,0,2,0,1,2,0,1,0,0,2,0,2,0,0,1,1,0,0,1,1,3,1,1,1,0,0,0,1,0,0,1,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,33,33,0.0,33.0,0.0,57.57575757575758,57.57575757575758,0.0,57.57575757575758,0.0,0.8574999999999999,0.39479000000000003,115.99999999999991,80.0,3704.0,16.0,0.33333333333333354,2.2797208779108686,337.78987551434983,339.25534823248967,39.71171105809919,46.68849659188041,80.0,107.709094435722,3688.0,115094.19130434783,61.020597843841585,30.510298921920793,2.911981685468535,0.31972539092697505,0.25665563143341474
1,1,1,0,0,1,3,3,0,3,2,1,2,1,3,0,1,1,2,3,4,6,1,0,5,2,1,3,1,0,3,0,2,2,6,0,2,2,4,1,4,2,5,3,1,2,2,0,1,1,1,0,0,4,1,0,0,3,2,3,0,1,2,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,1,2,0,0,0,0,0,0,2,1,0,1,0,0,1,0,0,1,0,0,0,2,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,3,0,0,1,1,2,2,1,2,1,0,0,1,0,0,0,0,0,2,1,0,1,1,1,0,0,0,1,0,0,2,0,1,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2,1,3,0,0,0,0,0,0,2,0,0,2,0,0,2,0,1,1,0,1,0,0,2,0,2,0,0,1,1,0,0,1,1,3,1,1,1,0,0,0,1,0,0,1,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,33,33,0.0,33.0,0.0,57.57575757575758,57.57575757575758,0.0,57.57575757575758,0.0,1.0016,0.43895999999999996,115.99999999999997,80.58815453532128,3614.0,20.125670117381297,0.33333333333333337,2.252753280921196,329.4237392781522,330.8529162239817,38.35251696766291,45.62990288205867,80.58815453532128,108.32019854514256,3593.874329882619,109463.65217391304,62.69029566308389,31.345147831541944,2.839859821363382,0.32248901256122,0.2874078515467467
1,1,1,0,0,1,3,3,0,3,2,1,2,1,3,0,1,1,3,3,4,6,1,1,4,2,2,2,1,0,4,0,2,3,4,0,2,2,4,1,4,2,5,3,1,2,2,0,1,1,1,0,0,4,1,0,0,3,2,3,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,1,2,0,0,0,0,0,0,2,1,0,1,0,0,1,0,0,1,0,0,0,2,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,3,0,0,1,1,2,2,1,2,1,0,0,1,0,1,0,0,0,2,1,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,2,1,0,0,0,0,0,0,2,0,0,0,0,0,3,0,1,1,2,0,0,0,0,0,1,1,0,0,2,0,0,2,0,1,1,0,1,0,0,2,0,2,0,0,1,1,0,0,1,1,3,1,1,1,0,0,0,1,0,0,1,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,33,33,0.0,33.0,0.0,57.57575757575758,57.57575757575758,0.0,57.57575757575758,0.0,0.9065000000000001,0.41524,115.99999999999999,84.37857175214228,3670.0,13.706904283655064,0.33333333333333337,2.267081144244915,334.3172146330488,335.7676215065621,36.46875353650948,51.248539759364505,84.37857175214228,111.28207433698488,3656.293095716345,112739.89565217392,60.03353457762037,30.016767288810186,2.88204495373318,0.2837553096022814,0.25058300421137125
23,28,21,14,23,19,29,27,28,29,34,32,17,25,30,11,18,19,25,11,28,15,19,14,22,32,41,19,17,18,33,19,44,19,50,25,19,25,30,29,41,27,51,26,22,16,39,24,28,27,18,18,21,23,19,11,29,23,29,24,7,6,19,9,4,5,9,5,7,7,6,8,8,3,7,3,1,3,7,3,6,4,9,4,4,3,4,8,4,10,10,5,2,8,11,6,12,6,6,4,7,6,13,3,4,11,10,9,6,11,10,5,3,8,5,1,4,9,10,2,8,7,12,3,1,2,5,3,4,5,7,2,4,4,6,5,5,9,5,6,0,2,7,2,10,7,7,4,3,2,5,5,3,6,5,5,2,1,5,6,5,5,5,7,13,9,5,5,13,9,10,9,4,5,9,1,7,5,4,1,6,3,8,1,7,7,13,6,6,7,4,1,7,16,10,11,4,5,5,5,11,13,17,9,6,4,7,8,3,4,8,4,6,5,5,9,5,8,9,8,5,6,11,7,15,6,12,8,8,7,6,6,16,9,15,11,7,3,8,8,14,4,4,0,7,3,2,4,8,9,12,10,9,3,10,2,7,5,11,5,5,9,9,4,7,3,4,4,5,5,6,2,7,5,5,4,7,6,6,4,4,1,10,4,2,0,4,5,7,6,10,6,4,3,6,10,10,2,12,5,7,5,8,4,2,2,2,1,2,1,1,2,7,4,4,4,0,0,9,0,255,6,60.72758845862398,60.6,1.0021054201093065,58.333333333333336,22.22222222222222,8.519690270127658,49.239518370272215,0.17302545906442743,0.4817,0.33558,1542.0000000000018,1003.2840282400243,611220.0,70.65624702880464,0.3333333333333329,8.48288814178634,15547.408980277067,15552.452746502298,502.2908366621277,633.3009487437093,1003.2840282400243,1490.3548268014083,611149.3437529712,241878786.4321869,857.053878057699,428.5269390288495,10.082625797845038,0.10394966243765277,0.25747180881363485
22,28,21,14,23,18,29,28,27,30,34,31,16,24,31,12,18,19,26,10,28,15,19,14,22,32,42,20,17,18,32,20,44,20,49,24,19,26,30,29,40,27,52,26,24,15,40,23,28,27,18,18,21,24,19,11,29,23,29,24,7,7,17,8,4,6,8,4,7,7,6,8,8,3,7,3,1,3,7,3,6,4,9,4,3,3,4,8,3,10,11,5,3,8,11,6,11,6,6,4,7,7,13,3,4,11,10,9,6,10,10,5,3,8,4,1,4,8,10,2,8,7,13,3,1,2,5,4,4,5,7,2,4,4,6,5,5,9,5,7,0,2,7,1,10,7,7,4,3,2,5,5,3,6,5,5,2,1,5,6,5,5,5,7,13,9,5,5,13,9,11,9,4,5,9,2,7,5,4,1,6,3,8,1,7,7,13,5,6,8,4,1,7,16,10,11,4,5,5,6,10,13,17,9,6,3,7,8,3,4,8,4,6,5,6,9,5,8,9,8,5,6,11,7,15,6,12,7,8,7,6,6,16,9,15,12,7,3,8,8,14,4,6,0,7,3,1,4,8,10,12,10,9,3,10,1,7,5,11,5,5,9,9,4,7,3,4,4,5,5,6,2,7,5,5,4,8,6,6,4,4,1,10,4,2,0,4,5,7,6,10,6,4,3,6,10,10,3,11,5,7,5,8,4,2,2,2,1,2,2,1,2,7,3,4,3,0,0,8,0,255,6,61.02622387138172,60.0,1.0171037311896953,58.333333333333336,22.22222222222222,8.51998420824581,49.60147123222508,0.17176878017099115,0.518,0.34944,1541.9999999999989,993.1096081200731,611418.0,93.0356105374373,0.3333333333333336,8.489141919369573,15552.55110906246,15557.596543456037,489.78131992390433,618.9249628623811,993.1096081200731,1504.2633712069362,611324.9643894626,242038810.20895523,885.3384083445551,442.66920417227755,10.085960511713665,0.10587788229033777,0.2684148858026224
22,28,21,14,23,18,29,28,27,29,34,32,17,24,31,11,18,19,25,11,28,15,19,14,22,32,41,19,17,18,33,20,44,20,49,24,19,25,30,29,41,27,51,26,22,16,40,24,28,27,18,18,21,24,19,11,29,23,30,24,7,7,17,9,4,6,8,4,7,7,6,8,8,3,7,3,1,3,7,3,6,4,9,4,3,3,4,8,4,10,10,5,2,8,11,7,11,6,6,4,7,6,13,3,4,11,10,9,6,11,10,5,3,8,5,1,4,8,10,2,8,7,13,3,1,2,4,4,4,5,7,2,4,4,6,5,5,9,5,6,0,2,7,2,10,7,7,4,3,2,5,5,3,6,5,5,2,1,5,6,5,5,5,7,13,9,5,5,13,9,10,9,4,5,9,1,7,5,4,1,6,3,8,1,7,7,13,6,6,8,4,1,7,16,10,11,4,5,5,6,10,13,17,9,6,3,7,8,3,4,8,4,6,5,5,9,5,8,9,8,5,6,11,7,15,6,12,8,8,7,6,6,16,9,15,11,7,3,8,8,14,4,4,0,7,3,2,4,8,10,12,10,9,3,11,1,7,5,11,5,5,9,9,4,7,3,4,4,5,5,6,2,7,5,5,4,8,6,6,4,4,1,10,4,2,0,4,5,7,6,10,6,4,3,6,10,10,2,12,6,7,5,8,4,2,2,2,1,2,2,1,2,7,3,4,3,0,0,9,0,255,6,60.72758845862398,60.6,1.0021054201093065,58.333333333333336,22.22222222222222,8.53498335200157,49.46258234333619,0.17255434204298958,0.4817,0.33558,1541.9999999999982,1006.8877627680688,610990.0,92.41204479863447,0.3333333333333337,8.47908644342522,15541.369888140493,15546.411695211693,489.5786969147047,631.7735622582879,1006.8877627680688,1488.945100451182,610897.5879552014,241690916.59701493,857.1715381928941,428.58576909644705,10.078709395681265,0.10329441505158493,0.26246188617782534
22,28,21,14,23,18,29,28,27,29,34,32,17,24,31,11,18,19,25,11,28,15,19,13,22,32,41,20,17,17,33,21,44,20,49,24,19,25,30,29,41,27,51,26,22,16,40,24,28,27,18,18,21,24,19,12,29,24,30,22,7,7,17,9,4,6,8,4,7,7,6,8,8,3,7,3,1,3,7,3,6,4,9,4,3,3,4,8,4,10,10,5,2,8,11,7,11,6,6,4,7,6,13,3,4,11,10,9,6,11,10,5,3,8,5,1,4,8,10,2,8,7,13,3,1,2,4,4,4,5,7,2,4,4,6,5,5,9,5,6,0,2,7,2,10,7,7,4,3,2,5,5,3,6,5,5,2,1,4,6,5,5,5,7,13,9,5,5,13,9,10,9,4,5,9,2,7,5,4,1,6,3,7,1,7,7,13,6,6,8,5,1,7,16,10,11,4,5,5,6,10,13,17,9,6,3,7,8,3,4,8,4,6,5,5,9,5,8,9,8,5,6,11,7,15,6,12,8,8,7,6,6,16,9,15,11,7,3,8,8,14,4,4,0,7,3,2,4,8,11,12,9,9,2,11,2,7,5,11,5,5,9,9,4,7,3,4,4,5,5,6,2,7,5,5,4,8,6,6,4,4,0,11,4,2,0,5,5,7,6,10,6,4,3,7,10,10,2,12,6,7,5,7,3,2,2,2,1,2,2,1,2,7,4,3,3,0,0,9,0,255,6,60.72758845862398,60.6,1.0021054201093065,58.333333333333336,22.22222222222222,8.565238955678597,49.5163457841964,0.17297800998902207,0.4817,0.33558,1541.999999999998,992.1739675926985,610990.0,107.16029770255778,0.33333333333333376,8.47309534614897,15541.219578913362,15546.261337222444,499.2906793338283,630.1577052824098,992.1739675926985,1488.9473226019752,610882.8397022975,241686241.5652174,858.7896173195654,429.3948086597827,10.078611918880274,0.1061356921730868,0.2574564056660671
22,29,21,14,23,18,29,28,27,29,34,32,17,24,31,12,18,19,26,11,28,15,19,14,22,32,41,19,17,18,32,20,45,19,49,24,19,25,30,29,41,27,51,26,23,16,40,23,28,27,18,18,21,24,19,11,29,23,30,24,7,7,17,8,4,6,8,4,7,8,6,8,8,3,7,3,1,3,7,3,6,4,9,4,3,3,4,8,4,10,10,5,3,8,11,6,11,6,6,4,7,6,13,3,4,11,10,9,6,11,10,5,3,8,5,1,4,8,10,2,8,7,13,3,1,2,5,4,4,5,7,2,4,4,6,5,5,9,5,7,0,2,7,2,10,7,7,4,3,2,5,5,3,6,5,5,2,1,5,6,5,5,5,7,13,9,5,5,13,9,10,9,4,5,9,1,7,5,4,1,6,3,8,1,7,7,13,5,6,8,4,1,8,16,10,11,4,4,5,6,10,13,17,9,6,3,7,8,3,4,8,4,6,5,5,9,5,8,9,8,5,6,11,7,15,6,12,8,8,7,6,6,16,9,15,11,7,3,8,8,14,4,5,0,7,3,2,4,8,10,12,10,9,3,10,1,7,5,11,5,5,9,9,4,7,3,4,4,5,5,6,2,7,5,5,4,8,6,6,4,4,1,10,4,2,0,4,5,7,6,10,6,4,3,6,10,10,2,12,6,7,5,8,4,2,2,2,1,2,2,1,2,7,3,4,3,0,0,8,0,255,6,61.02622387138172,60.0,1.0171037311896953,58.333333333333336,22.22222222222222,8.51998420824581,49.60147123222508,0.17176878017099115,0.4817,0.33558,1542.9999999999984,1020.3498780254063,611923.0,78.99448322963258,0.3333333333333337,8.493552952378899,15560.254368100797,15565.29902842724,484.59381222253626,629.12841993914,1020.3498780254063,1488.9722291848395,611844.0055167704,242278533.84435797,859.8438092456995,429.92190462284975,10.084416311147644,0.10076637109083147,0.2537146247370603
23,28,21,13,23,19,29,27,28,29,34,32,17,25,29,10,18,19,25,11,28,15,19,14,22,32,41,19,17,18,33,18,44,19,50,25,19,25,30,29,41,27,51,26,22,16,39,24,27,27,18,18,21,23,19,10,28,23,29,24,7,6,19,9,4,5,9,5,7,7,6,8,8,3,7,3,1,3,7,2,6,4,9,4,4,3,4,8,4,10,10,5,2,8,11,6,12,6,6,4,7,6,13,3,4,11,10,9,6,11,10,5,3,8,5,1,4,9,10,2,7,7,12,3,1,2,4,3,4,5,7,2,4,4,6,5,5,9,5,6,0,2,7,2,10,7,7,4,3,2,5,4,3,6,5,5,2,1,5,6,5,5,5,7,13,9,5,5,13,9,10,9,4,5,9,1,7,5,4,1,6,3,8,1,7,7,13,6,6,7,4,1,7,16,10,11,4,5,5,5,11,13,17,9,6,4,7,8,3,4,8,4,6,5,5,9,5,8,9,8,5,6,11,7,15,6,12,8,8,7,6,6,16,9,15,11,7,3,8,8,14,4,4,0,7,3,2,4,8,9,12,10,9,3,10,2,7,5,10,5,5,9,9,4,7,3,4,4,5,5,6,2,7,5,5,4,7,6,6,4,4,1,10,4,2,0,4,4,6,6,10,6,4,3,6,10,10,2,12,5,7,5,8,4,2,2,2,1,2,1,1,2,7,4,4,4,0,0,9,0,255,6,60.727588458623984,60.6,1.0021054201093067,58.333333333333336,22.22222222222222,8.519690270127658,49.23951837027222,0.1730254590644274,0.4817,0.33558,1535.0000000000039,1028.6126796378448,606239.0,104.51971622646826,0.3333333333333325,8.467256930661156,15455.774196073133,15460.811111375844,476.19684926940874,628.5289808117266,1028.6126796378448,1481.1612488683936,606134.4802837735,239036680.22164276,852.632268056667,426.3161340283335,10.06890827105739,0.0982909003337052,0.26858357712451003
22,28,21,13,23,18,29,28,27,30,34,31,16,24,30,11,18,19,26,10,28,15,19,14,22,32,42,20,17,18,32,19,44,20,49,24,19,26,30,29,40,27,52,26,24,15,40,23,27,27,18,18,21,24,19,10,28,23,29,24,7,7,17,8,4,6,8,4,7,7,6,8,8,3,7,3,1,3,7,2,6,4,9,4,3,3,4,8,3,10,11,5,3,8,11,6,11,6,6,4,7,7,13,3,4,11,10,9,6,10,10,5,3,8,4,1,4,8,10,2,7,7,13,3,1,2,4,4,4,5,7,2,4,4,6,5,5,9,5,7,0,2,7,1,10,7,7,4,3,2,5,4,3,6,5,5,2,1,5,6,5,5,5,7,13,9,5,5,13,9,11,9,4,5,9,2,7,5,4,1,6,3,8,1,7,7,13,5,6,8,4,1,7,16,10,11,4,5,5,6,10,13,17,9,6,3,7,8,3,4,8,4,6,5,6,9,5,8,9,8,5,6,11,7,15,6,12,7,8,7,6,6,16,9,15,12,7,3,8,8,14,4,6,0,7,3,1,4,8,10,12,10,9,3,10,1,7,5,10,5,5,9,9,4,7,3,4,4,5,5,6,2,7,5,5,4,8,6,6,4,4,1,10,4,2,0,4,4,6,6,10,6,4,3,6,10,10,3,11,5,7,5,8,4,2,2,2,1,2,2,1,2,7,3,4,3,0,0,8,0,255,6,61.02622387138172,60.0,1.0171037311896953,58.333333333333336,22.22222222222222,8.51998420824581,49.60147123222508,0.17176878017099115,0.4817,0.33558,1535.0000000000002,1017.7051594110537,606459.0,63.64135971017332,0.3333333333333333,8.473737421084472,15461.532653653712,15466.57144559248,474.5120020602934,621.7623928392803,1017.7051594110537,1479.826407430292,606395.3586402899,239214832.2816167,858.0640145910116,429.0320072955058,10.072659709220657,0.10037067841396137,0.2690497774325662
