nameseq,faverage,fmedian,fmaximum,fminimum,fpeak,fnone_levated_peak,fsample_standard_deviation,fpopulation_standard_deviation,fpercentile15,fpercentile25,fpercentile50,fpercentile75,famplitude,fvariance,finterquartile_range,fsemi_interquartile_range,fcoefficient_of_variation,fskewness,fkurtosis,label
PS-196_unicycler_I3+Pcct_99127_S6_length_4136064_depth_1.00x_circular_true/14626-14741,231.99999999999997,167.99698668327457,1208.9235756722637,0.47349409023565836,0.16666666666666669,2.8711801142090114,223.39203208709122,224.36119946658994,37.05397395376526,58.04249330591795,167.99698668327457,325.3280638395402,1208.4500815820281,50337.94782608696,267.28557053362226,133.64278526681113,0.9628966900305658,0.8595160631124028,0.26502082995992154,predict
PS-196_unicycler_I3+Pcct_99127_S6_length_4136064_depth_1.00x_circular_true/632412-632527,232.00000000000009,161.87470079927715,1174.9349724126255,1.1586160123236313,0.1666666666666666,2.8476780703661437,215.7035002034042,216.63931153959066,45.23941208207142,66.94927199138894,161.87470079927715,343.83270888016045,1173.776356400302,46932.59130434782,276.8834368887715,138.44171844438574,0.9297564663939832,0.9753012695843528,0.29461056029453736,predict
PS-196_unicycler_I3+Pcct_99127_S6_length_4136064_depth_1.00x_circular_true/183043-183158,232.0,170.38117446069623,1401.1462401660638,4.785794190291362,0.16666666666666666,2.8552414656512024,228.2104292095346,229.20050079617494,30.505525314982492,64.3666067259314,170.38117446069623,322.5993073246044,1396.3604459757723,52532.86956521739,258.232700598673,129.1163502993365,0.9836656431445456,0.8100264184165867,0.2709800090186556,predict
PS-196_unicycler_I3+Pcct_99127_S6_length_4136064_depth_1.00x_circular_true/928483-928598,232.0,133.29917539617216,1056.9423304846734,4.2516790749316975,0.16666666666666666,2.887350545175313,233.88886249669946,234.90356948442,34.128718740340766,66.60992098011289,133.29917539617216,331.46619348002537,1052.6906514097418,55179.68695652173,264.8562724999125,132.42813624995625,1.00814164869267,1.265996467940674,0.2635165427030525,predict
PS-196_unicycler_I3+Pcct_99127_S6_length_4136064_depth_1.00x_circular_true/3086916-3086762,309.99999999999994,221.99465100587787,1384.049209956007,1.2408163157368555,0.16666666666666669,3.311507672889002,286.0629301395062,286.9902030094,43.825516449330884,90.88588002589887,221.99465100587787,456.514080875731,1382.8083936402702,82363.37662337662,365.6282008498321,182.81410042491606,0.9227836456113104,0.9229299540965051,0.25887177155413527,predict
PS-196_unicycler_I3+Pcct_99127_S6_length_4136064_depth_1.00x_circular_true/11655-11809,310.0,218.83326774099513,1435.7161907681284,0.6631668021421717,0.16666666666666666,3.3184315442082255,290.83328557783756,291.77602155291436,44.47589571038429,78.40376139188314,218.83326774099513,456.3784339549362,1435.0530239659863,85133.24675324676,377.9746725630531,188.98733628152655,0.9381718889607663,0.9404019771451366,0.26730510189614803,predict
PS-196_unicycler_I3+Pcct_99127_S6_length_4136064_depth_1.00x_circular_true/9746-11295,3100.0000000000014,2160.037188662819,26852.000000000004,1.4092834426342713,0.16666666666666657,10.4542143907689,3069.243555014818,3070.234112908936,520.8869378844169,872.0513955429234,2160.037188662819,4296.771968751379,26850.59071655737,9426337.508069722,3424.720573208456,1712.360286604228,0.9900785661338118,0.918756815308498,0.2472684675402558,predict
PS-196_unicycler_I3+Pcct_99127_S6_length_4136064_depth_1.00x_circular_true/923724-925273,3100.000000000005,2177.527112601581,27252.000000000004,0.2900963755688976,0.16666666666666638,10.456459670509874,3076.0234069330486,3077.016152934991,510.618698900026,917.2295538005139,2177.527112601581,4310.38553009983,27251.709903624436,9468028.405422853,3393.1559762993165,1696.5779881496583,0.9922656151396915,0.899674123401593,0.24535294965183452,predict
PS-196_unicycler_I3+Pcct_99127_S6_length_4136064_depth_1.00x_circular_true/160822-162371,3100.0000000000036,2177.72925700182,28100.0,0.39609430805522877,0.16666666666666646,10.451745727212458,3077.167528751075,3078.160644003251,503.20636875462026,897.3588783545812,2177.72925700182,4327.70583665155,28099.603905691944,9475072.950290509,3430.346958296969,1715.1734791484846,0.9926346866938941,0.8991425403859999,0.24572638043884254,predict
PS-196_unicycler_I3+Pcct_99127_S6_length_4136064_depth_1.00x_circular_true/30215-31764,3100.0,2197.511972770319,28516.0,1.6452100673966985,0.16666666666666666,10.455946162877085,3077.583467592715,3078.5767170836684,504.7631040793506,897.9500465073337,2197.511972770319,4327.003194147546,28514.354789932604,9477634.602969656,3429.0531476402125,1714.5265738201063,0.992768860513779,0.8797370112618978,0.24615067349090514,predict
PS-196_unicycler_I3+Pcct_99127_S6_length_4136064_depth_1.00x_circular_true/3088647-3087099,3097.9999999999977,2113.1607671036704,26281.999999999996,1.0974783110181523,0.1666666666666668,10.440618367788877,3110.7375331261887,3111.742131096226,546.0391132991449,919.1430287111244,2113.1607671036704,4222.460056150489,26280.90252168898,9682939.090439282,3303.317027439365,1651.6585137196826,1.004111534256356,0.9497804514930545,0.23020342388315265,predict
PS-196_unicycler_I3+Pcct_99127_S6_length_4136064_depth_1.00x_circular_true/9751-11293,3086.0000000000014,2207.937949338414,28089.999999999996,0.5643124936262148,0.1666666666666666,10.421732591579246,3067.2867489036626,3068.281168365322,499.32422258544113,918.4799825457524,2207.937949338414,4226.034215766769,28089.43568750637,9414349.328145266,3307.554233221017,1653.7771166105085,0.9939360819519317,0.8588000952067154,0.2376974722043316,predict
PS-196_unicycler_I3+Pcct_99127_S6_length_4136064_depth_1.00x_circular_true/923729-925271,3086.000000000009,2174.5207694640603,28522.0,4.049375121113548,0.16666666666666619,10.427250948124183,3075.631967579996,3076.62909257542,515.8002008651289,911.074086728024,2174.5207694640603,4178.535821816703,28517.950624878886,9465646.573281452,3267.4617350886792,1633.7308675443396,0.9966403005767942,0.8890653109446602,0.23265580079805345,predict
PS-196_unicycler_I3+Pcct_99127_S6_length_4136064_depth_1.00x_circular_true/160827-162369,3086.000000000005,2173.814540720717,29377.999999999996,0.9468667230280147,0.1666666666666664,10.4288779763825,3071.493447819806,3072.4892311002454,507.13477656613793,893.48568576104,2173.814540720717,4188.481512942108,29377.053133276968,9440190.075226977,3294.9958271810674,1647.4979135905337,0.995299237789955,0.8909530247509772,0.2371700666758741,predict
PS-196_unicycler_I3+Pcct_99127_S6_length_4136064_depth_1.00x_circular_true/30220-31762,3086.0000000000014,2175.4675793991964,29825.999999999996,0.2903128202752755,0.1666666666666666,10.426874212097827,3054.8309282184505,3055.8213094823427,484.90003069821427,891.6190223120602,2175.4675793991964,4254.25414784008,29825.709687179722,9338043.875486381,3362.6351255280197,1681.3175627640098,0.9898998471219861,0.8941893433675092,0.24286387773552726,predict
PS-196_unicycler_I3+Pcct_99127_S6_length_4136064_depth_1.00x_circular_true/3088642-3087101,3083.999999999993,2127.5273956898927,28207.88278836261,0.22216828505933264,0.16666666666666705,10.452653662649944,3127.8132936606044,3128.827993863668,532.6424111769585,914.7799851328275,2127.5273956898927,4239.812538327113,28207.660620077553,9789564.615184944,3325.0325531942854,1662.5162765971427,1.0142066451558402,0.917387818111134,0.2388047365437979,predict
PS-196_unicycler_I3+Pcct_99127_S6_length_4136064_depth_1.00x_circular_true/9751-11290,3079.999999999998,2167.3338823775407,27880.000000000004,1.3890133912456875,0.16666666666666677,10.46458766399422,3095.5710297132578,3096.576574982499,496.16863632765376,896.0908362756072,2167.3338823775407,4203.249330243808,27878.610986608757,9588786.484730344,3307.1584939682007,1653.5792469841003,1.0050555291276817,0.8844889445554066,0.24234265990176104,predict
PS-196_unicycler_I3+Pcct_99127_S6_length_4136064_depth_1.00x_circular_true/3088642-3087104,3078.000000000007,2094.019867821031,27274.0,1.0482974084733343,0.1666666666666663,10.474876458284543,3173.3654060003864,3174.3968916138456,500.07738767451684,861.7421776111469,2094.019867821031,4207.433933911889,27272.951702591527,10076795.625487644,3345.691756300742,1672.845878150371,1.0309829129305976,0.9302239165257253,0.24466228447147345,predict
PS-196_unicycler_I3+Pcct_99127_S6_length_4136064_depth_1.00x_circular_true/923729-925268,3080.000000000003,2167.793359445296,28304.0,0.33308123220179414,0.16666666666666652,10.463523947385674,3092.6131345514264,3093.6177189971368,477.6803260615862,874.3676235701705,2167.793359445296,4172.606011279245,28303.666918767798,9570470.591293048,3298.2383877090742,1649.1191938545371,1.004095173555657,0.8848891867818635,0.23639530787363647,predict
PS-196_unicycler_I3+Pcct_99127_S6_length_4136064_depth_1.00x_circular_true/160827-162366,3079.9999999999986,2164.3708011403787,29160.000000000004,0.5720222074801359,0.16666666666666674,10.46378246862543,3096.1705379387618,3097.1762779483765,475.7629485437727,879.9799948704781,2164.3708011403787,4207.31908420271,29159.427977792522,9592500.89668616,3327.3390893322317,1663.6695446661158,1.0052501746554425,0.8871887264994024,0.24003616363638958,predict
PS-196_unicycler_I3+Pcct_99127_S6_length_4136064_depth_1.00x_circular_true/30220-31759,3080.000000000002,2194.2748718402427,29600.000000000004,2.8525260225244997,0.16666666666666657,10.456703762297257,3086.554065620753,3087.5566818777056,484.10477031820307,873.865121905112,2194.2748718402427,4194.021331373533,29597.14747397748,9533006.263807667,3320.156209468421,1660.0781047342105,1.0021279433833608,0.860887361111194,0.23875039268360362,predict
PS-196_unicycler_I3+Pcct_99127_S6_length_4136064_depth_1.00x_circular_true/3086930-3084001,5860.000000000004,3967.5470856411894,53575.99999999996,7.527287678581963,0.16666666666666655,14.475022458880646,6130.147143421599,6131.19351146599,927.3876287908423,1580.5948264873537,3967.5470856411894,7902.650797570523,53568.47271232138,37591533.87504266,6322.055971083169,3161.0279855415847,1.0461001951231392,0.9261374336126574,0.24809719259654556,predict
